Feature,IG,L1_Coefficient
smean,0.914365054929626,0.39138508698252883
sload,0.8869937351503021,0.14174466318477863
dmean,0.5450942551515428,0.206048877995872
dur,0.5327990007702819,0.2743401867514853
ct_dst_sport_ltm,0.5218865334429603,0.24279872368353592
ct_srv_dst,0.5092535978896846,1.1536816390285842
ct_state_ttl,0.5014519035313074,0.3741972645171572
dttl,0.4972502087821131,0.5654491809911466
ct_srv_src,0.48448718527812673,0.581283058173294
sttl,0.47780260718589807,0.49349423091219724
dload,0.477202705058108,2.641925491667077e-05
dpkts,0.4654795459834671,0.0
ct_src_dport_ltm,0.465260407526793,0.21656079908012427
ct_dst_ltm,0.4591994719231929,0.08259451904547675
sinpkt,0.4400194985643613,0.6778023788977553
synack,0.3949022960657089,0.15928719429941504
ct_src_ltm,0.39226511375901607,0.012248208466204296
tcprtt,0.39148059713692396,0.3311005644550465
spkts,0.37594140062187886,0.0
state,0.2922302344264769,0.8664129141054954
service,0.24346265059718197,0.5311221043501455
